front;back;level;category;type
一;イチ / イツ / ひと - / ひと。つ / Um;B3;;Kanji
二;に / ふた / ふたつ / Dois;B3;;Kanji
三;さん / みつ / みっつ / Três ;B3;;Kanji
四;し / よん / よつ / よっつ / Quatro;B3;;Kanji
五;ご / いつ / Cinco;B3;;Kanji
六;ろく / Seis;B3;;Kanji
七;しち / なな / Sete;B3;;Kanji
八;はち / やつ / Oito;B3;;Kanji
九;きゅう / Nove;B3;;Kanji
十;じゅう / Dez;B3;;Kanji
百;ひゃく / Cem;B3;;Kanji
千;せん / Mil;B3;;Kanji
万;まん / Dez Mil;B3;;Kanji
円;えん / まる(い) / Iene - Círculo ;B3;;Kanji
年;ネン / とし / Ano - Idade;B3;;Kanji
日;ひ /び / か / ニチ / ジツ / Dia - Sol;B3;;Kanji
月;つき / がつ  / げつ / Lua - Mês;B3;;Kanji
木;き / モク / ボク / Árvore ;B3;;Kanji
山;やま / サン / Montanha;B3;;Kanji
川;かわ / セン / Rio;B3;;Kanji
田;た / デン / Arrozal;B3;;Kanji
人;ひと / じん / ニン / Pessoa;B3;;Kanji
口;くち / コウ / ク / Boca;B3;;Kanji
車;くるま / しゃ / Carro;B3;;Kanji
門;かど / もん / Portão ;B3;;Kanji
火;ひ / カ / Fogo;B3;;Kanji
水;みず / スイ / Água ;B3;;Kanji
金;かね / きん / Dinheiro - Ouro;B3;;Kanji
土;つち / ど / と / Terra;B3;;Kanji
子;こ / し / Criança;B3;;Kanji
女;おんな / じょ / Mulher;B3;;Kanji
学;まな / がく / Aprender;B3;;Kanji
生;せい / しょう / い(きる) / う(まれる) / Viver - Nascer;B3;;Kanji
先;さき / せん / Antes - Ponta;B3;;Kanji
私;わたし / わたくし / し / Eu - Privativo;B3;;Kanji
上;うえ / ジョウ / Em cima - Acima;B3;;Kanji
下;した / カ / ゲ / Embaixo;B3;;Kanji
中;なか / チュウ / じゅう / Dentro - Meio - Centro;B3;;Kanji
大;おお(きい) / ダイ / タイ / Grande;B3;;Kanji
小;ちい(さい) / ショウ / お / こ / Pequeno;B3;;Kanji
本;ほん / Livro;B3;;Kanji
半;なか(ば) / はん / Metade - Meio - Meados;B3;;Kanji
分;フン / ブン / ブ / わ(かる) / わ(ける) / Dividir - Entender - Metade;B3;;Kanji
力;ちから / リョク / リキ / Força ;B3;;Kanji
何;なに / なん / O quê? ;B3;;Kanji
明;あか(るい) / メイ / ミュウ / Claro - Alegre;B3;;Kanji
休;やす(む) / キュウ / Descanso - Faltar;B3;;Kanji
体;からだ / タイ / Corpo;B3;;Kanji
好;す(き) / コウ / Gostar - Preferido;B3;;Kanji
男;おとこ / ダン / ナン / Homem;B3;;Kanji
林;はやし / リン / Bosque;B3;;Kanji
森;もり / シン / Floresta;B3;;Kanji
間;あいだ(ま) / カン / ケン / Intervalo - Espaço - Distância - Entre;B3;;Kanji
畑;はたけ / は / Horta;B3;;Kanji
岩;いわ / ガン / Rocha;B3;;Kanji
目;め / モク/ Olho ;B4;;Kanji
耳;みみ / ジ / Orelha;B4;;Kanji
手;て / シュ / Mão ;B4;;Kanji
足;あし / ソク / た(す) / た(りる) / Pé - Perna / Acrescentar / Ser suficiente;B4;;Kanji
雨;あめ / あま / Chuva;B4;;Kanji
竹;たけ / チク / Bambu;B4;;Kanji
米;こめ / ベイ / マイ / Arroz;B4;;Kanji
貝;かい / バイ / Concha - Marisco;B4;;Kanji
石;いし / セキ / Pedra ;B4;;Kanji
糸;いと / シ / Fio - Linha;B4;;Kanji
花;はな / カ / はな(び) / Flor / Fogos de Artifício ;B4;;Kanji
茶;チャ / サ / Chá;B4;;Kanji
肉;にく/ Carne ;B4;;Kanji
文;ブン / モン / (ふみ) / Frase;B4;;Kanji
字;じ / Letra;B4;;Kanji
物;もの / ブツ / モツ / Coisa;B4;;Kanji
牛;うし / ギュウ / Vaca - Boi;B4;;Kanji
馬;うま / バ / Cavalo;B4;;Kanji
鳥;とり / チョウ / Pássaro ;B4;;Kanji
魚;さかな / ギョ / Peixe;B4;;Kanji
新;あたら(しい) / シン / Novo;B4;;Kanji
古;ふる(い) / コ / Velho - Antigo;B4;;Kanji
長;なが(い) / チョウ / Longo / Chefe;B4;;Kanji
短;みじか(い) / タン / Curto;B4;;Kanji
高;たか(い) / コウ / Alto - Caro;B4;;Kanji
安;やす(い) / アン / Barato - Seguro;B4;;Kanji
低;ひく(い) / テイ / Baixo;B4;;Kanji
暗;くら(い) / アン / Escuro;B4;;Kanji
多;おお(い) / タ / Muito;B4;;Kanji
少;すく(ない) / すこし / ショウ / Pouco;B4;;Kanji
行;い(く) / おこな(う) / こう / ギョウ / Ir / Executar - Fazer;B4;;Kanji
来;く(る) / き(ます) / こ(ない) / ライ / Vir;B4;;Kanji
帰; かえ(る) / キ / Voltar para a casa;B4;;Kanji
食;た(べる) / く(う) / ショク / Comer;B4;;Kanji
飲;の(む) / イン / Beber;B4;;Kanji
読;よ(む) / ドク / Ler;B4;;Kanji
書;か(く) / ショ / Escrever;B4;;Kanji
話;はな(す) / ワ / Falar;B4;;Kanji
見;み(る) / み(える) / み(せる) / ケン/ Ver;B4;;Kanji
聞;き(く) / き(こえる) / ブン / Ouvir;B4;;Kanji
買;蚊(う) / Comprar;B4;;Kanji
売;う(る) / Vender;B4;;Kanji
教;おし(える) / キョウ / Ensinar;B4;;Kanji
会;あ(う) / カイ / Encontrar;B4;;Kanji
思;おも(う) / シ / Achar - Pensar;B4;;Kanji
朝;あさ / チョウ / Manhã ;B4;;Kanji
昼;ひる / チュウ / Tarde;B4;;Kanji
夜;よる / ヤ / Noite;B4;;Kanji
晩;バン / Noite;B4;;Kanji
午;ゴ / Meio -dia;B4;;Kanji
前;まえ / ゼン / Em frente - Antes;B4;;Kanji
